customer_id,first_name,last_name,total_orders
1366,Vedhika,Gole,13
1370,Theodore,Wali,13
1381,Robert,Krishnan,13
1391,Urvashi,Chadha,13
1397,Unni,Maharaj,13
1399,Qadim,Deshmukh,13
1408,Zashil,Singhal,13
1409,Kamya,Sane,13
1421,Anusha,Gaba,13
1433,Karan,Nagarajan,13
1444,Teerth,Grover,13
1445,Azaan,Buch,13
1457,Oeshi,Barad,13
1462,Azaan,Parmer,13
1472,Rachit,Gopal,13
1493,Pratyush,Datta,13
1024,Chanakya,Dhingra,12
1039,Udyati,Kohli,12
1043,Hamsini,Rama,12
1071,Udarsh,Shah,12
1072,Lekha,Kala,12
1079,Eta,Sarraf,12
1088,Balendra,Pathak,12
1095,Manan,Raval,12
1096,Liam,Nagy,12
1128,Indrajit,Pal,12
1133,Nachiket,Lal,12
1138,Tanay,Bakshi,12
1148,Ishaan,Raju,12
1155,Warda,Kota,12
1159,Yashawini,Sane,12
1175,Benjamin,Tara,12
1183,Qasim,Nigam,12
1211,Diya,Dutta,12
1221,Warinder,Chaudhary,12
1228,Manan,Sastry,12
1236,Bina,Chhabra,12
1244,Rachita,Lall,12
1248,Shravya,Manne,12
1251,Krishna,Dube,12
1299,Ekbal,Bhatnagar,12
1322,Yamini,Parsa,12
1336,Tristan,Lad,12
1383,Kevin,Ram,12
1386,Ekanta,Dhillon,12
1392,Nilima,Samra,12
1411,Hardik,De,12
1412,Finn,Nayar,12
1414,Nihal,Karan,12
1428,Lekha,Bala,12
1436,Darsh,Lanka,12
1465,Chakradhar,Modi,12
1486,Ria,Bakshi,12
1018,Vedant,Mitra,11
1028,Dayamai,Roy,11
1030,Vamakshi,Varkey,11
1033,Chaaya,Venkataraman,11
1037,Bhanumati,Gade,11
1041,Chandani,Basu,11
1057,Yagnesh,Luthra,11
1068,Panini,Banik,11
1073,Bhavani,Vala,11
1090,Janya,Sharaf,11
1094,Warinder,Nayak,11
1097,Vedika,Patil,11
1103,Manbir,Mahajan,11
1106,Rajeshri,Dhaliwal,11
1109,Dev,Dayal,11
1110,Aahana,Walla,11
1124,Maya,Gupta,11
1125,Pratyush,Sur,11
1127,George,Sunder,11
1129,Anjali,Oak,11
1140,Hemangini,Saxena,11
1145,Vanya,Khare,11
1149,Odika,Gandhi,11
1152,Raghav,Dani,11
1163,Waida,Gandhi,11
1171,Advik,Saxena,11
1176,Naksh,Nagy,11
1178,Ishwar,Natarajan,11
1184,Shravya,Rajan,11
1222,Indali,Sethi,11
1223,Ryan,Ben,11
1243,Qarin,Shetty,11
1267,Vedika,Wadhwa,11
1274,Hema,Bora,11
1276,Meera,Bahl,11
1279,Vedhika,Tank,11
1296,Leena,Krishna,11
1300,Aarna,Koshy,11
1318,Omkaar,Kant,11
1321,Yashica,Rai,11
1326,Upasna,Datta,11
1339,Kashish,Borah,11
1351,Banjeet,Chacko,11
1359,Leela,Sane,11
1377,Gavin,Natarajan,11
1389,Krishna,Choudhary,11
1403,Nitara,Ramaswamy,11
1410,Ekaraj,Kibe,11
1415,Nidra,Iyengar,11
1422,Maanas,Khare,11
1429,Mohammed,Bir,11
1437,Sudiksha,Wason,11
1441,Lakshmi,Baria,11
1466,Samarth,Gour,11
1473,Naksh,Bhasin,11
1475,Mitesh,Mishra,11
1485,Nathan,Krishnamurthy,11
1488,Devika,Mallick,11
1002,Janya,Tailor,10
1003,Gautam,Chana,10
1045,Ekbal,Pingle,10
1048,Yashasvi,Pandey,10
1052,Yahvi,Mistry,10
1061,Udant,Sood,10
1080,Kamya,Wable,10
1091,Wyatt,Dass,10
1105,Abdul,Narang,10
1107,Jackson,Soni,10
1126,Libni,Kamdar,10
1132,Warinder,Bhargava,10
1151,Indira,Sarna,10
1153,Oeshi,Sahota,10
1161,Abdul,Gaba,10
1164,Madhavi,Srinivas,10
1166,Qarin,Chauhan,10
1168,Anika,Dua,10
1172,Nitara,Goda,10
1181,Nikita,Dugar,10
1193,Urmi,Sama,10
1239,Janani,Morar,10
1249,Arjun,Pradhan,10
1257,Yatin,Bajwa,10
1269,Vivaan,Rattan,10
1273,Rehaan,Chaudhari,10
1280,Unnati,Bir,10
1288,Mahika,Guha,10
1294,Chaaya,Oak,10
1297,Oviya,Sane,10
1298,Irya,Contractor,10
1305,Damini,Sekhon,10
1311,Isaiah,Kota,10
1324,Tanmayi,Dhillon,10
1327,Wazir,Raghavan,10
1328,Vritti,Kibe,10
1342,Inaya,Rajan,10
1353,Nicholas,Barad,10
1355,Jatin,Tata,10
1360,Anthony,Gokhale,10
1368,Advaith,Deshpande,10
1369,Hritik,Kant,10
1379,Wahab,Soni,10
1384,Anirudh,Shankar,10
1393,Ganga,Khatri,10
1418,Anamika,Samra,10
1420,Osha,Lal,10
1425,Shivansh,Dhar,10
1427,Yauvani,Sahota,10
1431,Imaran,Din,10
1450,Liam,Sinha,10
1459,Dakshesh,Ahluwalia,10
1474,Ekanta,Kota,10
1004,Harshil,Amble,9
1005,Chanakya,Sule,9
1014,Idika,Panchal,9
1020,Eesha,Modi,9
1021,Neha,Krishnan,9
1026,Ekanta,Deep,9
1034,Suhani,Zachariah,9
1035,Gautami,Banik,9
1053,Adya,Murthy,9
1055,Samaksh,Jayaraman,9
1065,Ishita,Bhatt,9
1066,Vasudha,Baral,9
1076,Eiravati,Mutti,9
1077,Michael,Mallick,9
1078,Madhav,Gola,9
1084,Ekanta,Buch,9
1093,Ojas,Oommen,9
1100,Udant,Mammen,9
1101,Ayush,Anne,9
1113,Finn,Seshadri,9
1121,Rachit,Salvi,9
1122,Lekha,Shah,9
1130,Mitali,Samra,9
1131,Indrajit,Arya,9
1134,Mitali,Khatri,9
1142,Pratyush,Borra,9
1157,Dominic,Shenoy,9
1160,Udyati,Anne,9
1162,Udant,Taneja,9
1179,Sai,Dubey,9
1180,Anvi,Prasad,9
1182,Udarsh,Cherian,9
1201,Dominic,Aggarwal,9
1204,Oliver,Bala,9
1207,Imaran,Barman,9
1213,Nathan,Kannan,9
1224,Aryan,Minhas,9
1234,Eiravati,Saini,9
1240,Sneha,Kumer,9
1258,Nandini,Varty,9
1263,Ranveer,Salvi,9
1268,Vedant,Sagar,9
1271,Mekhala,Ratti,9
1283,Akshay,Borah,9
1285,Charan,Sibal,9
1290,Neel,Dani,9
1293,Oscar,Mody,9
1304,Agastya,Modi,9
1330,Christopher,Prakash,9
1335,Daniel,Shukla,9
1344,Abeer,Naidu,9
1358,Anvi,Devan,9
1374,Jack,Tara,9
1380,Sneha,Pillai,9
1385,Chandani,Chaudry,9
1401,Chavvi,Pillai,9
1406,Abdul,Arora,9
1434,Mohammed,Narayan,9
1443,Robert,Rao,9
1446,Maanas,Mistry,9
1452,Nilima,Chakrabarti,9
1454,Osha,Vyas,9
1460,Nitara,Sane,9
1463,Ganga,Natt,9
1469,Tanveer,Sethi,9
1476,Baghyawati,Karnik,9
1480,Charvi,Tella,9
1484,Lohit,Devi,9
1491,Amrita,Ben,9
1494,Niharika,Gupta,9
1010,Mitali,Karpe,8
1022,Eesha,Peri,8
1025,Ronith,Buch,8
1031,Christopher,Saini,8
1038,Hitesh,Barman,8
1044,Arya,Chakrabarti,8
1058,Liam,Mane,8
1074,Damini,Mital,8
1081,Advaith,Grewal,8
1083,Liam,Halder,8
1111,Imaran,Ahuja,8
1114,Advaith,Sanghvi,8
1115,Anusha,Sahota,8
1116,Inaya,Doctor,8
1143,Xiti,Mittal,8
1150,Triya,Gopal,8
1165,Rushil,Pall,8
1169,Balvan,Thaker,8
1174,Barkha,Desai,8
1185,Nihal,Din,8
1186,Ojasvi,Balay,8
1203,Libni,Sarin,8
1208,Aachal,Bora,8
1215,Aarav,Shan,8
1220,Lucky,Sathe,8
1230,Devansh,Kala,8
1231,Pranit,Jaggi,8
1232,Suhani,Yadav,8
1247,Xiti,Kalla,8
1265,Indira,Sarkar,8
1281,Omaja,Mand,8
1284,Nidhi,Mannan,8
1289,Triya,Gopal,8
1302,Faraj,Dayal,8
1313,Sanya,Minhas,8
1315,Ranbir,Chhabra,8
1320,Vrinda,Mody,8
1331,Saksham,Parikh,8
1345,Tripti,Chatterjee,8
1350,Advik,Mand,8
1354,Vidhi,Bhalla,8
1356,Gagan,Jayaraman,8
1362,Bina,Bir,8
1365,Qasim,Sodhi,8
1371,Nathaniel,Bora,8
1372,Naksh,Mand,8
1376,Abhimanyu,Bhasin,8
1378,Samarth,Nigam,8
1387,Urvashi,Solanki,8
1396,Sathvik,Cheema,8
1405,Manya,Jain,8
1419,Aradhana,Peri,8
1430,Ganga,Bains,8
1447,Ishaan,Prasad,8
1449,Aditya,Sandal,8
1451,Gavin,Vyas,8
1453,Ekavir,Manda,8
1456,Aadi,Murty,8
1479,Harinakshi,Jha,8
1487,Libni,Hans,8
1490,Rachita,Agate,8
1498,Elijah,Yadav,8
1499,Theodore,Sarna,8
1500,Nirja,Anne,8
1009,David,Shroff,7
1015,Kamya,Sengupta,7
1016,Jagdish,Kannan,7
1036,Girik,Trivedi,7
1042,Simon,Batta,7
1046,Zaitra,Mutti,7
1051,Yash,Mukherjee,7
1060,Meghana,Vaidya,7
1063,Abhiram,Amble,7
1082,Qasim,Gade,7
1086,Tanmayi,Chatterjee,7
1099,Meera,Ahluwalia,7
1104,Libni,Oza,7
1118,Bhavani,Patla,7
1139,Charita,Seth,7
1146,Yashvi,Setty,7
1158,Madhavi,Thaker,7
1170,Widisha,Gill,7
1187,Tara,Rout,7
1196,Niharika,Chatterjee,7
1212,Ikshita,Subramaniam,7
1214,Tanvi,Issac,7
1216,Ekapad,Das,7
1219,Pushti,Iyengar,7
1227,Tamanna,Nadig,7
1233,Owen,Bhatt,7
1238,Ansh,Loke,7
1241,Ekansh,Kar,7
1242,Kamala,Bhat,7
1245,Balveer,Nayar,7
1262,Brijesh,Dubey,7
1270,Bakhshi,Keer,7
1272,Chandani,Pandit,7
1306,Jalsa,Badami,7
1312,Gayathri,Choudhary,7
1314,Faras,Garg,7
1319,Laksh,Lad,7
1329,Omisha,Mall,7
1334,Peter,Sem,7
1357,Mitesh,Chahal,7
1382,Harini,Sachar,7
1388,Arjun,Yohannan,7
1394,Siddharth,Dhar,7
1398,Aryan,Comar,7
1402,Shivansh,Borde,7
1404,Samarth,Acharya,7
1426,Anamika,Keer,7
1435,Gaurav,Atwal,7
1440,Imaran,Agate,7
1461,Jack,Mann,7
1468,Bimala,Sawhney,7
1478,Theodore,Bhandari,7
1483,Abhiram,Pandit,7
1001,Madhav,Chadha,6
1013,Lavanya,Apte,6
1027,Devansh,Magar,6
1032,Vasatika,Kibe,6
1047,Xavier,Deol,6
1059,Andrew,Barad,6
1085,Banjeet,Balay,6
1120,Rachana,Randhawa,6
1123,Darpan,Malhotra,6
1192,Jyoti,Sathe,6
1202,Manthan,Dubey,6
1209,Varenya,Goswami,6
1210,Krisha,Dugar,6
1226,Benjamin,Rai,6
1229,Hiral,Apte,6
1237,Netra,Mohan,6
1264,Hema,Chandran,6
1316,Jairaj,Bhargava,6
1317,Lopa,Prashad,6
1333,Vasudha,Sangha,6
1363,Pavani,Raval,6
1364,Sachi,Garg,6
1373,Kiaan,Boase,6
1458,Harini,Ganesan,6
1477,Nitara,Vyas,6
1482,Zilmil,Gandhi,6
1492,Rajeshri,Manda,6
1496,Gaurika,Gupta,6
1008,Neel,Bajaj,5
1019,Zashil,Sarraf,5
1136,Warjas,Wagle,5
1141,Darika,Loyal,5
1144,Isaac,Sura,5
1218,Balhaar,Batta,5
1254,Harrison,Varkey,5
1282,Shivansh,Kulkarni,5
1323,Barkha,Dyal,5
1337,Chaitanya,Thaker,5
1367,Samesh,Mitra,5
1495,Zehaan,Ramaswamy,5
1497,Ekbal,Narasimhan,5
1012,Onveer,Bakshi,4
1112,Dalaja,Pal,4
1119,Janaki,Chacko,4
1154,Bahadurjit,Kota,4
1194,Janya,Nigam,4
1235,Lajita,Bali,4
1286,Joshua,Dugar,4
1287,Upma,Uppal,4
1291,Widisha,Ganesh,4
1295,Vihaan,Khurana,4
1347,Warhi,Parmar,4
1424,Mohini,Lal,4
1438,Girindra,Sankar,4
1442,Kabir,Varkey,4
1464,Saksham,Dave,4
1349,Ryan,Anand,3
1191,Megha,Behl,2
